"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"737","GADD45G.3",0,1.39240639157133,0.299,0.073,0,"hNeuron","GADD45G"
"738","HOXB2.2",0,1.39140941992857,0.581,0.218,0,"hNeuron","HOXB2"
"739","CAMK2N1.2",0,1.35534497074568,0.46,0.105,0,"hNeuron","CAMK2N1"
"740","RND2.4",0,1.35095872024099,0.488,0.096,0,"hNeuron","RND2"
"741","PCBP4.2",0,1.34772390165231,0.622,0.233,0,"hNeuron","PCBP4"
"742","GNG3.1",0,1.339294138994,0.313,0.059,0,"hNeuron","GNG3"
"743","PPP1R17",0,1.33922262874882,0.212,0.014,0,"hNeuron","PPP1R17"
"744","JPT1.4",0,1.33868335158732,0.932,0.734,0,"hNeuron","JPT1"
"745","LINC00461",0,1.32504435833009,0.288,0.001,0,"hNeuron","LINC00461"
"746","IGFBPL1",0,1.30608988154349,0.332,0.022,0,"hNeuron","IGFBPL1"
"747","INA",0,1.30332832255849,0.255,0.004,0,"hNeuron","INA"
"748","SOX11.3",2.34148302328914e-158,1.26414360010184,0.841,0.783,6.03423589931845e-154,"hNeuron","SOX11"
"749","BEX1.2",0,1.2484000480388,0.596,0.306,0,"hNeuron","BEX1"
"750","ELAVL2",0,1.24740633477664,0.339,0.016,0,"hNeuron","ELAVL2"
"751","ELAVL3",0,1.24700915469136,0.334,0.003,0,"hNeuron","ELAVL3"
"752","HOXB-AS3",0,1.24555872944277,0.301,0.036,0,"hNeuron","HOXB-AS3"
"753","PLP1.3",0,1.2406427754649,0.378,0.065,0,"hNeuron","PLP1"
"754","STMN4",0,1.22753849362129,0.294,0.003,0,"hNeuron","STMN4"
"755","KIF5C",0,1.20546914357372,0.341,0.028,0,"hNeuron","KIF5C"
"756","EDNRB.1",0,1.20031397130263,0.363,0.032,0,"hNeuron","EDNRB"
"757","AL359091.1",0,1.19897190512353,0.25,0.001,0,"hNeuron","AL359091.1"
"758","APLP1.3",0,1.1979319259996,0.41,0.082,0,"hNeuron","APLP1"
"759","CALM1.2",0,1.14720544544128,0.906,0.763,0,"hNeuron","CALM1"
"760","PANTR1",0,1.13907663021923,0.275,0.007,0,"hNeuron","PANTR1"
"761","DST.2",0,1.08731997870212,0.575,0.224,0,"hNeuron","DST"
"762","ENC1.2",0,1.07899792741157,0.425,0.101,0,"hNeuron","ENC1"
"763","MOXD1.2",0,1.07551091973279,0.354,0.074,0,"hNeuron","MOXD1"
"764","HOXB8.1",0,1.0730887130193,0.51,0.141,0,"hNeuron","HOXB8"
"765","CNIH2.1",0,1.06667545972984,0.437,0.126,0,"hNeuron","CNIH2"
"766","MPZ",0,1.05845005852196,0.266,0.025,0,"hNeuron","MPZ"
"767","IGDCC3.3",0,1.04419841054898,0.519,0.154,0,"hNeuron","IGDCC3"
"768","C4orf48.3",2.33380442667747e-282,1.03421346141199,0.83,0.622,6.01444738799051e-278,"hNeuron","C4orf48"
"769","SRGAP3.2",9.37023662504184e-305,1.03105213199704,0.497,0.212,2.41480368063953e-300,"hNeuron","SRGAP3"
"770","NHLH1",0,1.02798755503538,0.219,0.003,0,"hNeuron","NHLH1"
"771","MIAT",0,1.0187393425403,0.282,0.008,0,"hNeuron","MIAT"
"772","RTN3.1",0,1.01678230979714,0.65,0.348,0,"hNeuron","RTN3"
"773","CDH6",0,1.01380205143718,0.259,0.048,0,"hNeuron","CDH6"
"774","DPYSL4.1",0,1.01029678619485,0.505,0.192,0,"hNeuron","DPYSL4"
"775","TMSB4X.2",0,1.00563088261378,0.993,0.969,0,"hNeuron","TMSB4X"
"776","FEZ1.1",0,1.0019232082008,0.355,0.057,0,"hNeuron","FEZ1"
"777","POSTN.2",8.09373856496138e-44,0.992085166544188,0.286,0.201,2.0858373655762e-39,"hNeuron","POSTN"
"778","POU2F2",0,0.98949998323122,0.209,0.011,0,"hNeuron","POU2F2"
"779","CENPV.1",0,0.985765651195549,0.876,0.624,0,"hNeuron","CENPV"
"780","INSM1",0,0.976583008389757,0.232,0.001,0,"hNeuron","INSM1"
"781","SCG5.3",0,0.973546004332836,0.412,0.128,0,"hNeuron","SCG5"
"782","LINC02381.1",1.08161887544593e-299,0.972551403671373,0.524,0.226,2.78744000391172e-295,"hNeuron","LINC02381"
"783","RTN4.2",3.47735741834554e-241,0.970343733032796,0.767,0.588,8.9614978028183e-237,"hNeuron","RTN4"
"784","SCG3",0,0.970111062126972,0.275,0.001,0,"hNeuron","SCG3"
"785","NPR3",0,0.969859187750503,0.255,0.044,0,"hNeuron","NPR3"
"786","LHX1",0,0.968264680135446,0.133,0.002,0,"hNeuron","LHX1"
"787","ASS1",0,0.968154635896403,0.175,0.022,0,"hNeuron","ASS1"
"788","MAP6",0,0.966733305713965,0.298,0.008,0,"hNeuron","MAP6"
"789","NKAIN4.4",4.83830072299699e-306,0.957762500623802,0.4,0.133,1.24687847932355e-301,"hNeuron","NKAIN4"
"790","NEUROD1",0,0.955364900606046,0.145,0.001,0,"hNeuron","NEUROD1"
"791","ZEB2.3",0,0.954950175267585,0.449,0.112,0,"hNeuron","ZEB2"
"792","FGFBP3",6.17498875935882e-210,0.954739611233595,0.246,0.072,1.59135635317436e-205,"hNeuron","FGFBP3"
"793","GDI1",2.65599193908465e-238,0.953738814046749,0.514,0.266,6.84475682621505e-234,"hNeuron","GDI1"
"794","POU3F2",0,0.941203126091111,0.262,0.005,0,"hNeuron","POU3F2"
"795","SCRG1.3",6.64664921321866e-49,0.940365521796206,0.352,0.254,1.71290796873858e-44,"hNeuron","SCRG1"
"796","NHLH2",0,0.938985886218736,0.223,0.002,0,"hNeuron","NHLH2"
"797","NR2F1.4",3.25953125785665e-276,0.933598622655243,0.69,0.384,8.40013800462238e-272,"hNeuron","NR2F1"
"798","BASP1.4",4.38328531525057e-31,0.933180040698979,0.749,0.814,1.12961645859322e-26,"hNeuron","BASP1"
"799","CUEDC2",8.64389715348097e-189,0.922426911969536,0.741,0.613,2.22761873542358e-184,"hNeuron","CUEDC2"
"800","DLK1.2",8.35204019690279e-109,0.919849789314763,0.278,0.127,2.15240427914382e-104,"hNeuron","DLK1"
