"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"LAMP2.1",6.88627744611015e-07,0.333216411862877,0.392,0.172,0.0177466256063705,"hNC","LAMP2"
"HNRNPD.3",7.15758457600975e-07,-0.562525985198078,0.785,0.87,0.0184458112108347,"hNC","HNRNPD"
"SLC2A3.1",7.21691111675271e-07,0.652101846683766,0.19,0.06,0.0185987016389834,"hNC","SLC2A3"
"TOMM20.3",7.24021539872585e-07,0.434211401983005,0.924,0.753,0.0186587591040564,"hNC","TOMM20"
"MYL12A.6",7.47084053875012e-07,0.446761299560601,0.899,0.742,0.0192531031524129,"hNC","MYL12A"
"AFF3.4",7.78792616072717e-07,-0.727968185892341,0.101,0.356,0.02007026450881,"hNC","AFF3"
"PLPPR3.5",7.83872985094745e-07,-0.682476829275591,0.101,0.358,0.0202011906988767,"hNC","PLPPR3"
"ZFHX4-AS1.4",7.98090824566935e-07,-0.647454585358283,0.025,0.271,0.0205675986399145,"hNC","ZFHX4-AS1"
"FRMD4A",8.13092684249428e-07,-0.606094048339752,0.076,0.344,0.020954211565792,"hNC","FRMD4A"
"SLC44A2",8.43606027245103e-07,0.625682846594529,0.38,0.179,0.0217405709281335,"hNC","SLC44A2"
"MFAP4.4",8.70663673470783e-07,-0.821449112059881,0.278,0.497,0.0224378735290156,"hNC","MFAP4"
"FAM210B.1",8.93576058511953e-07,0.446570947264272,0.405,0.198,0.0230283486039116,"hNC","FAM210B"
"UGP2",9.10432308069277e-07,0.637414300769649,0.532,0.291,0.0234627510112533,"hNC","UGP2"
"NEDD9",9.1699061292845e-07,0.34702988120667,0.215,0.073,0.0236317650857791,"hNC","NEDD9"
"FIBIN.5",9.79037820853319e-07,-0.944627645389255,0.076,0.323,0.0252307836812109,"hNC","FIBIN"
"FRZB.6",9.86013150837069e-07,-0.804294661366641,0.013,0.261,0.0254105449102221,"hNC","FRZB"
"SRSF8",9.92606813167687e-07,0.290841643428034,0.38,0.161,0.0255804701821445,"hNC","SRSF8"
"ZIC2.6",9.97581671709168e-07,-0.96064024256357,0.025,0.266,0.025708677261617,"hNC","ZIC2"
"SET.1",1.05476241498772e-06,-0.477874877473612,0.924,0.939,0.0271822821966484,"hNC","SET"
