"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"79","SYNPO2",2.81114362288608e-76,0.457365121751126,0.372,0.077,4.24848135726774e-72,1,"SYNPO2"
"80","PAX9",1.68902453939892e-54,0.444812950041991,0.415,0.142,2.55262278639359e-50,1,"PAX9"
"81","CALD1",3.95292563140172e-33,0.443965507353982,0.754,0.572,5.97405650673742e-29,1,"CALD1"
"82","ACTG1",1.22702320380886e-39,0.440055712204906,0.967,0.924,1.85440016791633e-35,1,"ACTG1"
"83","H1FX",3.50643854096201e-25,0.439261274113406,0.835,0.69,5.29928056695589e-21,1,"H1FX"
"84","ARRDC3",5.2880574834739e-32,0.429557434624496,0.612,0.378,7.9918412747741e-28,1,"ARRDC3"
"85","SMOC1",7.02460500653417e-99,0.424413509706093,0.287,0.016,1.06162855463751e-94,1,"SMOC1"
"86","RUNX1T1",4.75040128319432e-44,0.41302463435835,0.419,0.168,7.17928145929157e-40,1,"RUNX1T1"
"87","TUBA1A",1.79451289086647e-31,0.408439405179593,0.683,0.466,2.7120473319665e-27,1,"TUBA1A"
"88","EFNA5",1.78128997131053e-38,0.394788340596814,0.452,0.209,2.6920635336416e-34,1,"EFNA5"
"89","SLC7A1",6.55134675176086e-66,0.383446922880706,0.303,0.056,9.90105034593619e-62,1,"SLC7A1"
"90","NCAM1",4.04811506308152e-31,0.37766259620273,0.492,0.267,6.11791629483509e-27,1,"NCAM1"
"91","COL5A2",2.5116743336416e-40,0.374510332435603,0.471,0.211,3.79589342043254e-36,1,"COL5A2"
"92","TRPS1",1.75529852128759e-34,0.374002107426029,0.484,0.252,2.65278265522194e-30,1,"TRPS1"
"93","STMN1",7.43852643290739e-23,0.373329276949564,0.877,0.744,1.12418449980529e-18,1,"STMN1"
"94","BOK",6.17910132318311e-56,0.361905229584301,0.283,0.058,9.33847582972664e-52,1,"BOK"
"95","WLS",1.71505657632564e-33,0.359104018121112,0.484,0.249,2.59196500380095e-29,1,"WLS"
"96","FAT1",2.60824195974983e-39,0.358015087819296,0.411,0.169,3.94183607376991e-35,1,"FAT1"
"97","PLEKHG4B",7.12521874684937e-48,0.357719122478055,0.357,0.114,1.07683430921135e-43,1,"PLEKHG4B"
"98","PCDH9",2.60644342628974e-42,0.357378276932378,0.336,0.113,3.93911795015169e-38,1,"PCDH9"
"99","MFAP2",1.38699168800792e-30,0.357307763978264,0.612,0.383,2.09616053808637e-26,1,"MFAP2"
"100","NNAT",4.13101313958021e-33,0.347835905765976,0.408,0.19,6.24320015784757e-29,1,"NNAT"
"101","ZFP36L2",4.07154004175258e-24,0.346587759634838,0.59,0.392,6.15331846510067e-20,1,"ZFP36L2"
"102","RGS2",1.07369163139004e-44,0.34618834240059,0.351,0.115,1.62267016251977e-40,1,"RGS2"
"103","COL16A1",3.79457919768586e-40,0.344855558251552,0.381,0.145,5.73474754146264e-36,1,"COL16A1"
"104","SLC5A3",1.0866268849168e-28,0.34410366237175,0.377,0.18,1.64221921117476e-24,1,"SLC5A3"
"105","NCKAP5",1.15773788343902e-44,0.341434578651286,0.302,0.087,1.74968926324138e-40,1,"NCKAP5"
"106","TMEM63B",2.15796928625698e-31,0.338159873078239,0.384,0.174,3.26133898232017e-27,1,"TMEM63B"
"107","PAX1",2.48024173438308e-21,0.332853470949969,0.575,0.389,3.74838933317314e-17,1,"PAX1"
"108","MYH9",5.46123552608259e-41,0.330686812272193,0.295,0.089,8.25356525056862e-37,1,"MYH9"
"109","PDLIM7",1.09280893599824e-24,0.325031240912714,0.444,0.25,1.65156214497414e-20,1,"PDLIM7"
"110","SMOC2",1.21236410738868e-57,0.324471003880765,0.264,0.046,1.83224587549652e-53,1,"SMOC2"
"111","H1F0",2.00713728945606e-28,0.317614995646148,0.393,0.187,3.03338658555494e-24,1,"H1F0"
"112","KANK4",3.63546524033451e-30,0.315221364436981,0.398,0.188,5.49427861771754e-26,1,"KANK4"
"113","GPC6",1.83275519750367e-27,0.303467814358648,0.388,0.188,2.76984292998729e-23,1,"GPC6"
"114","CPNE2",1.03029001869694e-42,0.301832925257544,0.28,0.076,1.55707730525668e-38,1,"CPNE2"
"115","RPS24",1.86260613664234e-19,0.30004750054857,0.873,0.781,2.81495665430757e-15,1,"RPS24"
"116","PKDCC",6.93268336469987e-15,0.299562663006443,0.772,0.675,1.04773643690709e-10,1,"PKDCC"
"117","NKX3-2",2.46343946381609e-20,0.299425504407901,0.548,0.366,3.72299606166526e-16,1,"NKX3-2"
"118","AOPEP",6.44654786875986e-31,0.296885817558287,0.387,0.172,9.74266779405678e-27,1,"AOPEP"
"119","FOXF1",7.65198931042562e-18,0.296828968854259,0.566,0.4,1.15644514448462e-13,1,"FOXF1"
"120","PAG1",1.59634652548283e-36,0.29456102167214,0.303,0.102,2.4125585039622e-32,1,"PAG1"
"121","FGD6",1.04014438227987e-45,0.294381235387293,0.265,0.063,1.57197020493957e-41,1,"FGD6"
"122","DPYSL3",8.68868286662418e-25,0.294000406242487,0.452,0.249,1.31312064163291e-20,1,"DPYSL3"
"123","ARHGEF7",4.79320010635943e-22,0.291506527218302,0.344,0.176,7.24396332074101e-18,1,"ARHGEF7"
"124","FOXP1",2.35678818244158e-19,0.279727674599196,0.673,0.481,3.56181398012396e-15,1,"FOXP1"
"125","NET1",2.91524475228025e-20,0.275883130538129,0.362,0.199,4.40580939412114e-16,1,"NET1"
"126","PKD1",1.78552048244977e-20,0.275757902130383,0.393,0.223,2.69845710512634e-16,1,"PKD1"
"127","COL6A3",5.80530666800844e-28,0.268720657111981,0.373,0.173,8.77355996736116e-24,1,"COL6A3"
"128","HMGB1",3.09278167883782e-15,0.264829537301594,0.96,0.9,4.6741209512276e-11,1,"HMGB1"
"129","ZBED1",2.53458619290396e-30,0.259030716665707,0.269,0.095,3.83052011333576e-26,1,"ZBED1"
"130","LUM",7.74593353961601e-16,0.258166156456266,0.534,0.37,1.17064293584217e-11,1,"LUM"
"131","MXRA8",2.17794640310525e-16,0.257563040080057,0.415,0.256,3.29153039901297e-12,1,"MXRA8"
"132","TMSB4X",8.12473010755815e-14,0.253857438067233,0.649,0.506,1.22789046115526e-09,1,"TMSB4X"
"133","DLG1",7.77198846569274e-19,0.252404308564555,0.355,0.195,1.17458061682014e-14,1,"DLG1"
"134","CXCL12",2.88232169499289e-194,1.06630126787558,0.47,0.012,4.35605277764276e-190,2,"CXCL12"
"135","COL1A11",8.74147704023683e-51,0.979815274224877,0.783,0.348,1.32109942509099e-46,2,"COL1A1"
"136","COL1A2",5.80558157817573e-43,0.895719615000093,0.941,0.75,8.77397543909699e-39,2,"COL1A2"
"137","FOSB",3.17084422325781e-23,0.865014376458253,0.648,0.394,4.79209687460953e-19,2,"FOSB"
"138","MARCKS",1.21115835025581e-31,0.697538919038981,0.957,0.768,1.8304236147416e-27,2,"MARCKS"
"139","PBX1",4.39299094791939e-28,0.659432519556098,0.522,0.241,6.63912721959058e-24,2,"PBX1"
"140","MDK",4.41019005052826e-26,0.583141163499191,0.858,0.652,6.66512022336336e-22,2,"MDK"
"141","TWIST1",2.2654137075006e-30,0.574798378814623,0.783,0.465,3.42371973614566e-26,2,"TWIST1"
"142","VCAN",1.59090409979985e-10,0.563373680714268,0.806,0.76,2.40433336602752e-06,2,"VCAN"
"143","CDH11",1.58237364420029e-43,0.553145047658209,0.494,0.152,2.3914412884799e-39,2,"CDH11"
"144","NFIB",9.18634232138418e-38,0.536798195585823,0.585,0.232,1.38833191503079e-33,2,"NFIB"
"145","BASP1",5.59112850654471e-30,0.521443668303084,0.625,0.298,8.44987251194102e-26,2,"BASP1"
"146","LTBP1",3.84293519178699e-37,0.487246412451063,0.395,0.111,5.80782795534768e-33,2,"LTBP1"
"147","FOXD1",5.5821860461408e-39,0.482496771336926,0.372,0.094,8.43635777153259e-35,2,"FOXD1"
"148","FOXP11",7.14913696558072e-12,0.448024225360715,0.692,0.52,1.08044906960821e-07,2,"FOXP1"
"149","MEIS1",1.0698185618849e-65,0.441375924919377,0.292,0.031,1.61681679257665e-61,2,"MEIS1"
"150","MT-CO1",7.78990529306167e-18,0.437533074489913,0.98,0.943,1.17728838694041e-13,2,"MT-CO1"
"151","SESN3",6.30395281009809e-15,0.419928562816434,0.474,0.261,9.52716388190124e-11,2,"SESN3"
"152","ZFHX3",1.43137416964962e-18,0.399947507654906,0.613,0.354,2.16323578259147e-14,2,"ZFHX3"
"153","COL5A21",2.70609842654663e-19,0.398843238632456,0.518,0.261,4.08972655203992e-15,2,"COL5A2"
"154","SFRP1",1.9504204922537e-57,0.395262765845793,0.285,0.035,2.94767048994301e-53,2,"SFRP1"
"155","PCOLCE",5.15599939913097e-15,0.386278759746526,0.478,0.268,7.79226189190663e-11,2,"PCOLCE"
"156","FSTL1",3.79226771944705e-11,0.382852560181359,0.676,0.528,5.73125420440033e-07,2,"FSTL1"
"157","MAF",9.82929826202713e-33,0.377999573213937,0.273,0.06,1.48550184634016e-28,2,"MAF"
"158","PAX11",1.06351152947732e-11,0.366379202308821,0.613,0.424,1.60728497449907e-07,2,"PAX1"
"159","NOTCH3",1.28529271299281e-17,0.36597477158214,0.447,0.218,1.94246287714603e-13,2,"NOTCH3"
"160","FOXC1",7.99852468422043e-13,0.365169609907755,0.711,0.517,1.20881703552623e-08,2,"FOXC1"
"161","RBMS3",1.05913971906213e-46,0.36446961230019,0.364,0.075,1.6006778574186e-42,2,"RBMS3"
"162","ZNF503",5.69100365149582e-19,0.363932995206077,0.375,0.156,8.60081381850564e-15,2,"ZNF503"
"163","TBX1",6.19166383765284e-19,0.357836519967743,0.324,0.124,9.35746155784473e-15,2,"TBX1"
"164","SULF1",1.01760764089885e-28,0.349283208485514,0.289,0.074,1.53791042769044e-24,2,"SULF1"
"165","CD81",2.63102771073418e-13,0.340743542424926,0.526,0.323,3.97627217923257e-09,2,"CD81"
"166","CUX1",4.77286420601395e-11,0.329232432243648,0.439,0.264,7.21322967454888e-07,2,"CUX1"
"167","HOXC8",5.64260709797998e-13,0.328436881055433,0.455,0.248,8.52767210717714e-09,2,"HOXC8"
"168","BNC2",1.55437257533568e-20,0.315368660265028,0.34,0.125,2.34912327310482e-16,2,"BNC2"
"169","GMDS",1.77654578199266e-21,0.310870222916134,0.316,0.108,2.68489364032551e-17,2,"GMDS"
